video_path,label,class_name,task_id
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g03_c05.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g19_c04.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g03_c01.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g24_c02.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g24_c04.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g04_c07.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g21_c05.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g19_c02.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g06_c03.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g01_c07.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g02_c04.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g23_c02.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g12_c04.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g11_c04.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/BoxingPunchingBag/v_BoxingPunchingBag_g06_c04.avi,10,BoxingPunchingBag,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g15_c07.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g08_c05.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g12_c01.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g19_c03.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g08_c02.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g13_c03.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g11_c03.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g14_c01.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g23_c04.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g08_c07.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g16_c07.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g14_c02.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g12_c07.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g07_c03.avi,14,Surfing,2
data/UCF-101/UCF-101/Surfing/v_Surfing_g04_c02.avi,14,Surfing,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g19_c03.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g09_c03.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g10_c03.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g16_c04.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g18_c01.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g22_c01.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g20_c04.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g14_c03.avi,12,PullUps,2
data/UCF-101/UCF-101/PullUps/v_PullUps_g04_c04.avi,12,PullUps,2
