video_path,label,class_name,task_id
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g23_c03.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g01_c04.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g19_c04.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g07_c03.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g21_c01.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g01_c02.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g06_c01.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g07_c02.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g12_c01.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g20_c03.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g25_c03.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g09_c01.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g19_c03.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g15_c02.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/BlowingCandles/v_BlowingCandles_g17_c03.avi,6,BlowingCandles,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g05_c03.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g16_c05.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g10_c02.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g21_c02.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g22_c05.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g16_c04.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g02_c03.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g22_c02.avi,5,ApplyLipstick,1
data/UCF-101/UCF-101/ApplyLipstick/v_ApplyLipstick_g15_c01.avi,5,ApplyLipstick,1
